dataset,port_type,day_type,hour,share
dundee_public,other,all,3,0.016
dundee_public,other,all,4,0.0212
dundee_public,other,all,5,0.0207
dundee_public,other,all,6,0.0237
dundee_public,other,all,7,0.0415
dundee_public,other,all,8,0.0455
dundee_public,other,all,9,0.0469
dundee_public,other,all,10,0.0538
dundee_public,other,all,11,0.0624
dundee_public,other,all,12,0.0665
dundee_public,other,all,13,0.0627
dundee_public,other,all,14,0.0664
dundee_public,other,all,15,0.0693
dundee_public,other,all,16,0.0567
dundee_public,other,all,17,0.052
dundee_public,other,all,18,0.0523
dundee_public,other,all,19,0.0504
dundee_public,other,all,20,0.0456
dundee_public,other,all,21,0.0396
dundee_public,other,all,22,0.0293
dundee_public,other,all,23,0.0261
norway_residential_7kW,L2_home,all,0,0.0203
norway_residential_7kW,L2_home,all,1,0.0111
norway_residential_7kW,L2_home,all,2,0.0074
norway_residential_7kW,L2_home,all,3,0.0089
norway_residential_7kW,L2_home,all,4,0.0097
norway_residential_7kW,L2_home,all,5,0.0036
norway_residential_7kW,L2_home,all,6,0.0039
norway_residential_7kW,L2_home,all,7,0.0081
norway_residential_7kW,L2_home,all,8,0.0139
norway_residential_7kW,L2_home,all,9,0.0147
norway_residential_7kW,L2_home,all,10,0.0201
norway_residential_7kW,L2_home,all,11,0.0279
norway_residential_7kW,L2_home,all,12,0.0352
norway_residential_7kW,L2_home,all,13,0.042
norway_residential_7kW,L2_home,all,14,0.0618
norway_residential_7kW,L2_home,all,15,0.0928
norway_residential_7kW,L2_home,all,16,0.1137
norway_residential_7kW,L2_home,all,17,0.0874
norway_residential_7kW,L2_home,all,18,0.0796
norway_residential_7kW,L2_home,all,19,0.084
norway_residential_7kW,L2_home,all,20,0.0844
norway_residential_7kW,L2_home,all,21,0.0726
norway_residential_7kW,L2_home,all,22,0.0617
norway_residential_7kW,L2_home,all,23,0.0352
norway_residential,L2_home,all,0,0.0203
norway_residential,L2_home,all,1,0.0111
norway_residential,L2_home,all,2,0.0074
norway_residential,L2_home,all,3,0.0089
norway_residential,L2_home,all,4,0.0097
norway_residential,L2_home,all,5,0.0036
norway_residential,L2_home,all,6,0.0039
norway_residential,L2_home,all,7,0.0081
norway_residential,L2_home,all,8,0.0139
norway_residential,L2_home,all,9,0.0147
norway_residential,L2_home,all,10,0.0201
norway_residential,L2_home,all,11,0.0279
norway_residential,L2_home,all,12,0.0352
norway_residential,L2_home,all,13,0.042
norway_residential,L2_home,all,14,0.0618
norway_residential,L2_home,all,15,0.0928
norway_residential,L2_home,all,16,0.1137
norway_residential,L2_home,all,17,0.0874
norway_residential,L2_home,all,18,0.0796
norway_residential,L2_home,all,19,0.084
norway_residential,L2_home,all,20,0.0844
norway_residential,L2_home,all,21,0.0726
norway_residential,L2_home,all,22,0.0617
norway_residential,L2_home,all,23,0.0352
palo_alto_public,L1,all,0,0.0002
palo_alto_public,L1,all,1,0.0
palo_alto_public,L1,all,2,0.0
palo_alto_public,L1,all,3,0.0
palo_alto_public,L1,all,4,0.0
palo_alto_public,L1,all,5,0.0
palo_alto_public,L1,all,6,0.0339
palo_alto_public,L1,all,7,0.0697
palo_alto_public,L1,all,8,0.1838
palo_alto_public,L1,all,9,0.1469
palo_alto_public,L1,all,10,0.0769
palo_alto_public,L1,all,11,0.0688
palo_alto_public,L1,all,12,0.0974
palo_alto_public,L1,all,13,0.0576
palo_alto_public,L1,all,14,0.0523
palo_alto_public,L1,all,15,0.0455
palo_alto_public,L1,all,16,0.0335
palo_alto_public,L1,all,17,0.0421
palo_alto_public,L1,all,18,0.0395
palo_alto_public,L1,all,19,0.0304
palo_alto_public,L1,all,20,0.0112
palo_alto_public,L1,all,21,0.007
palo_alto_public,L1,all,22,0.0021
palo_alto_public,L1,all,23,0.0012
palo_alto_public,L2,all,0,0.002
palo_alto_public,L2,all,1,0.0008
palo_alto_public,L2,all,2,0.0005
palo_alto_public,L2,all,3,0.0007
palo_alto_public,L2,all,4,0.0026
palo_alto_public,L2,all,5,0.0151
palo_alto_public,L2,all,6,0.0345
palo_alto_public,L2,all,7,0.0464
palo_alto_public,L2,all,8,0.0662
palo_alto_public,L2,all,9,0.0696
palo_alto_public,L2,all,10,0.0706
palo_alto_public,L2,all,11,0.0815
palo_alto_public,L2,all,12,0.0793
palo_alto_public,L2,all,13,0.0747
palo_alto_public,L2,all,14,0.0698
palo_alto_public,L2,all,15,0.0627
palo_alto_public,L2,all,16,0.0587
palo_alto_public,L2,all,17,0.0696
palo_alto_public,L2,all,18,0.0738
palo_alto_public,L2,all,19,0.0521
palo_alto_public,L2,all,20,0.031
palo_alto_public,L2,all,21,0.0209
palo_alto_public,L2,all,22,0.0119
palo_alto_public,L2,all,23,0.0052
workplace_midwest,L2,all,0,0.0009
workplace_midwest,L2,all,1,0.0009
workplace_midwest,L2,all,2,0.0
workplace_midwest,L2,all,3,0.0006
workplace_midwest,L2,all,4,0.0012
workplace_midwest,L2,all,5,0.0006
workplace_midwest,L2,all,6,0.0003
workplace_midwest,L2,all,7,0.0003
workplace_midwest,L2,all,8,0.0158
workplace_midwest,L2,all,9,0.047
workplace_midwest,L2,all,10,0.0883
workplace_midwest,L2,all,11,0.1481
workplace_midwest,L2,all,12,0.142
workplace_midwest,L2,all,13,0.0874
workplace_midwest,L2,all,14,0.0419
workplace_midwest,L2,all,15,0.054
workplace_midwest,L2,all,16,0.1195
workplace_midwest,L2,all,17,0.1296
workplace_midwest,L2,all,18,0.0661
workplace_midwest,L2,all,19,0.0331
workplace_midwest,L2,all,20,0.0161
workplace_midwest,L2,all,21,0.0039
workplace_midwest,L2,all,22,0.0018
workplace_midwest,L2,all,23,0.0006
