id,station_name,street_address,city,zip,status_code,access_code,access_detail_code,facility_type,owner_type_code,ev_network,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_num,ports_total,ev_connector_types,ev_pricing,ev_workplace_charging,open_date,date_last_confirmed,updated_at,latitude,longitude,COUNTYFP
162296,CITY OF ITHACA DRYDEN,118 Dryden Rd,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-06-12,2026-09-14,2026-09-14T01:09:37Z,42.442142,-76.486112,109
162304,INHS 210 HANCOCK,423 1st St,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-06-12,2026-09-14,2026-09-14T01:09:32Z,42.448275,-76.503354,109
162307,CITY OF ITHACA SENECA STREET,202 NY-79,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-06-12,2026-09-14,2026-09-14T01:09:31Z,42.440479,-76.495856,109
162315,ITHACA VISITORS ITHACA COLLEGE,Conservatory Dr,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-06-12,2026-09-14,2026-09-14T01:08:59Z,42.420935,-76.500084,109
162323,CAYUGA STATION ALL PRO GARAGE,235 S Cayuga St,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-06-12,2026-09-14,2026-09-14T01:08:55Z,42.437359,-76.498744,109
162327,ULYSSES TOWN ULYSSES,10 Elm St,Trumansburg,14886,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-06-12,2026-09-14,2026-09-14T01:08:44Z,42.541251,-76.661435,109
164859,DRYDEN STATION 1,93 E Main St,Dryden,13053,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-08-06,2026-09-14,2026-09-14T01:33:15Z,42.49164,-76.28683,109
165558,CCE TOMPKINS STATION ONE,615 Willow Ave,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2020-08-27,2026-09-14,2026-09-14T01:34:07Z,42.450688,-76.503433,109
168427,Village of Dryden,16 South St,Dryden,13053,E,private,CREDIT_CARD_ALWAYS,MUNI_GOV,LG,EV Connect,0,2,0,2,['J1772'],,False,2020-10-02,2020-12-03,2021-03-11T23:22:17Z,42.484968,-76.29677,109
168458,Tompkins-Seneca-Tioga BOCES,555 Warren Rd,Ithaca,14850,E,private,CREDIT_CARD_ALWAYS,SCHOOL,P,EV Connect,0,4,0,4,['J1772'],,True,2020-08-27,2020-12-03,2021-03-11T23:22:17Z,42.475787,-76.46425,109
182683,SCIENCENTER SCIENCENTER,601 1st St,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2021-01-27,2026-09-14,2026-09-14T01:09:01Z,42.449965,-76.504087,109
186535,CAYUGA MED CTR. CAYUGA MEDICAL,101 Dates Dr,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2021-03-24,2026-09-14,2026-09-14T01:26:14Z,42.468963,-76.538457,109
