site_type,site_id,name,lat,lon,ports_2026,ports_scaled,annual_kwh,peak_kw,kwh_per_port_day
public_l2,afdc_229476,CORNELL STATION5,42.45,-76.479,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_230851,Village of Dryden,42.49,-76.298,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_256948,MAGUIRE IMPORTS VOLKS CLIENT,42.422,-76.517,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_302246,CORNELL CORNELLSTATION7,42.443,-76.48,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_311780,ITHACAN B,42.439,-76.496,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_311781,ITHACAN A,42.439,-76.496,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_311782,ITHACAN C,42.439,-76.496,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_311783,ITHACAN D,42.439,-76.496,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_324859,Spruce Row Campground & RV Park,42.516,-76.587,4.0,14.103,41675.339,23.211,8.096
public_l2,afdc_326300,CORNELL STATION10,42.436,-76.455,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_326305,CORNELL STATION11,42.436,-76.455,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_326306,CORNELL STATION12,42.436,-76.455,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_326447,CORNELL STATION8,42.444,-76.484,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_326448,CORNELL STATION9,42.444,-76.484,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_333805,Holiday Inn Express Ithaca,42.421,-76.518,4.0,14.103,41675.339,23.211,8.096
public_l2,afdc_333826,Ithaca Bakery,42.443,-76.509,6.0,21.154,62513.008,34.816,8.096
public_l2,afdc_334127,Kendal at Ithaca 3,42.474,-76.488,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_334240,Rodeway Inn & Suites,42.41,-76.54,4.0,14.103,41675.339,23.211,8.096
public_l2,afdc_341691,SWTCH Energy Inc.,42.437,-76.46,4.0,14.103,41675.339,23.211,8.096
public_l2,afdc_341704,SWTCH Energy Inc.,42.439,-76.46,4.0,14.103,41675.339,23.211,8.096
public_l2,afdc_341740,SWTCH Energy Inc.,42.538,-76.654,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_341778,SWTCH Energy Inc.,42.501,-76.311,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_347356,Kendal at Ithaca 2 (North Lot),42.476,-76.486,4.0,14.103,41675.339,23.211,8.096
public_l2,afdc_347357,Kendal at Ithaca 1 (South Lot),42.475,-76.485,4.0,14.103,41675.339,23.211,8.096
public_l2,afdc_347365,Best Western University Inn,42.439,-76.462,8.0,28.205,83350.678,46.422,8.096
public_l2,afdc_347945,Fairview Apartments East,42.44,-76.476,12.0,42.308,125026.017,69.632,8.096
public_l2,afdc_347946,Fairview Apartments West,42.44,-76.476,8.0,28.205,83350.678,46.422,8.096
public_l2,afdc_350529,GREENSTARCOOPER GREENSTAR 1,42.445,-76.51,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_360737,Ithaca College - Farm Pond Road - North Row,42.428,-76.496,12.0,42.308,125026.017,69.632,8.096
public_l2,afdc_360738,Ithaca College -  Terrace Hall,42.417,-76.498,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_360739,Ithaca College - Farm Pond Road - South Row,42.427,-76.496,14.0,49.359,145863.686,81.238,8.096
